날짜,평균기온,최고기온,최저기온,강수량(mm),신적설(cm),평균풍속(m/s),평균습도(%),운량(1/10),일조시간(hr),날씨
1967-01-01,-2.5,1.5,-7.4,1.5,4.8,3.6,65.0,6.0,5.6,구름많음/눈
1967-01-02,-8.3,-5.0,-11.1,0.0,0.0,3.9,53.0,0.0,8.4,맑음
1967-01-03,-10.3,-6.1,-13.3,0.0,0.0,3.0,48.0,0.0,7.9,맑음
1967-01-04,-8.7,-4.2,-12.4,0.0,0.0,2.3,52.0,1.0,4.1,맑음
1967-01-05,-5.6,0.8,-11.4,0.0,0.0,1.8,69.0,2.0,7.3,맑음
1967-01-06,-0.4,4.3,-3.0,0.0,0.0,2.4,69.0,7.8,6.3,흐림
1967-01-07,-3.7,-0.4,-9.7,0.0,0.0,4.5,58.0,0.0,8.2,맑음
1967-01-08,-9.7,-5.0,-13.4,0.0,0.0,3.4,40.0,0.0,8.7,맑음
1967-01-09,-9.1,-3.8,-12.8,0.0,0.0,2.1,53.0,0.0,8.0,맑음
1967-01-10,-7.3,-2.9,-12.0,0.0,0.0,1.8,57.0,3.5,2.3,구름조금
1967-01-11,-3.8,0.6,-6.5,0.0,0.0,2.5,69.0,8.3,1.7,흐림
1967-01-12,-2.9,2.6,-8.0,0.2,0.5,2.9,72.0,5.0,4.9,구름조금/눈
1967-01-13,-4.7,-0.1,-12.2,0.0,0.0,4.0,42.0,0.0,8.4,맑음
1967-01-14,-11.9,-8.0,-14.5,0.0,0.0,2.9,31.0,4.0,8.3,구름조금
1967-01-15,-15.2,-11.8,-17.2,0.0,0.0,4.1,49.0,0.0,8.4,맑음
1967-01-16,-13.0,-7.3,-18.4,0.0,0.0,1.6,43.0,2.5,6.8,구름조금
1967-01-17,-9.2,-4.0,-13.0,0.0,0.0,2.4,58.0,0.0,8.7,맑음
1967-01-18,-4.6,1.3,-10.5,0.0,0.0,2.3,64.0,7.5,4.0,흐림
1967-01-19,1.2,6.2,-2.1,0.0,0.0,2.5,78.0,3.5,8.1,구름조금
1967-01-20,-1.8,4.2,-5.5,0.0,0.0,1.9,70.0,0.0,8.1,맑음
1967-01-21,-0.3,6.9,-5.5,0.0,0.0,1.8,77.0,0.0,8.2,맑음
1967-01-22,0.0,2.7,-6.2,0.0,0.0,3.6,56.0,3.0,8.2,구름조금
1967-01-23,-2.3,3.5,-7.5,0.0,0.0,2.0,58.0,3.0,8.7,구름조금
1967-01-24,1.4,6.9,-2.6,0.0,0.0,1.8,78.0,1.5,8.9,맑음
1967-01-25,1.8,7.0,-0.4,0.0,0.0,1.7,78.0,5.0,6.9,구름조금
1967-01-26,1.3,8.6,-3.4,0.0,0.0,1.3,72.0,0.0,8.7,맑음
1967-01-27,3.1,10.1,-1.3,4.9,1.0,4.9,62.0,8.3,6.0,흐림/눈
1967-01-28,2.0,3.2,1.1,15.3,0.0,6.8,90.0,10.0,0.0,흐림/비
1967-01-29,0.8,2.6,-1.8,2.8,1.8,2.1,93.0,9.5,0.0,흐림/눈
1967-01-30,-7.2,-1.8,-10.2,0.0,0.0,3.7,51.0,0.8,8.5,맑음
1967-01-31,-7.3,-2.9,-11.0,0.0,0.0,1.8,59.0,0.5,7.7,맑음
1967-02-01,-6.9,-2.4,-10.1,0.0,0.0,2.5,55.0,0.0,9.2,맑음
1967-02-02,-4.9,0.1,-9.6,0.3,1.0,1.7,60.0,2.3,6.6,맑음/눈
1967-02-03,-3.7,-0.3,-6.2,0.1,0.1,1.7,78.0,6.5,6.0,구름많음/눈
1967-02-04,-1.2,4.8,-6.0,0.0,0.0,2.0,72.0,5.8,8.1,구름많음
1967-02-05,0.5,2.3,-1.6,2.3,3.6,2.4,86.0,9.8,0.0,흐림/눈
1967-02-06,-0.8,1.0,-2.2,0.0,0.0,1.6,91.0,9.5,0.4,흐림
1967-02-07,0.4,1.4,-0.9,6.0,3.6,1.1,92.0,7.5,0.0,흐림/눈
1967-02-08,-0.4,3.4,-4.0,0.0,0.0,1.4,73.0,3.0,4.1,구름조금
1967-02-09,-0.8,3.6,-4.8,0.0,0.0,2.5,62.0,8.8,2.8,흐림
1967-02-10,-6.5,-3.5,-9.2,0.0,0.0,3.8,55.0,4.0,9.0,구름조금
1967-02-11,-8.4,-4.7,-11.6,0.0,0.0,3.9,49.0,1.3,8.9,맑음
1967-02-12,-9.3,-5.4,-12.0,0.0,0.0,3.3,52.0,0.3,9.1,맑음
1967-02-13,-8.5,-5.0,-11.1,0.0,0.0,2.6,52.0,3.3,9.2,구름조금
1967-02-14,-7.0,-2.7,-10.2,0.0,0.1,2.6,49.0,2.3,8.9,맑음/눈
1967-02-15,-6.9,-2.6,-10.2,0.0,0.0,2.7,53.0,0.3,9.1,맑음
1967-02-16,-2.7,4.1,-9.0,0.4,0.7,3.7,67.0,6.8,5.7,구름많음/눈
1967-02-17,-5.7,-1.5,-9.3,0.0,0.0,3.3,49.0,0.0,9.2,맑음
1967-02-18,-4.6,0.7,-9.3,0.0,0.0,2.5,58.0,0.0,8.4,맑음
1967-02-19,-1.9,4.1,-7.4,0.0,0.0,1.9,61.0,3.3,9.5,구름조금
1967-02-20,1.7,5.8,-3.0,0.0,0.0,2.4,58.0,8.3,1.0,흐림
1967-02-21,5.2,6.8,4.5,0.4,0.0,5.1,76.0,10.0,0.0,흐림/비
1967-02-22,8.6,13.3,2.5,45.1,0.0,5.2,89.0,10.0,0.0,흐림/비
1967-02-23,0.2,2.8,-1.8,0.0,0.0,3.7,65.0,3.0,8.0,구름조금
1967-02-24,-0.8,3.2,-3.0,0.0,0.0,2.1,74.0,7.3,4.5,구름많음
1967-02-25,-0.6,4.2,-3.6,0.0,0.0,3.1,56.0,3.3,10.0,구름조금
1967-02-26,-1.4,2.1,-4.5,0.0,0.0,3.2,63.0,0.0,9.5,맑음
1967-02-27,-0.9,2.7,-3.8,0.0,0.0,3.6,53.0,1.3,9.7,맑음
1967-02-28,-1.3,3.8,-5.3,0.0,0.0,2.2,58.0,0.3,9.8,맑음
1967-03-01,2.9,8.2,-1.8,0.0,0.0,2.5,76.0,4.5,9.4,구름조금
