날짜,평균기온,최고기온,최저기온,강수량(mm),신적설(cm),평균풍속(m/s),평균습도(%),운량(1/10),일조시간(hr),날씨
2022-01-01,-4.3,2.3,-10.2,0.0,0.0,1.5,46.0,1.4,9.0,맑음
2022-01-02,-1.3,3.0,-5.2,0.3,0.5,2.4,58.0,4.1,5.4,구름조금/눈/비/안개
2022-01-03,-1.9,2.5,-8.0,0.0,0.0,1.9,58.0,4.9,7.8,구름조금/눈
2022-01-04,-2.5,1.0,-5.6,0.0,0.0,2.4,52.0,0.0,9.0,맑음/눈
2022-01-05,-2.8,1.9,-7.8,0.0,0.0,1.7,48.0,7.2,1.9,구름많음
2022-01-06,-2.2,3.3,-5.9,0.0,0.0,2.2,47.0,0.0,9.1,맑음
2022-01-07,-1.6,4.5,-5.9,0.0,0.0,1.6,47.0,0.0,9.1,맑음
2022-01-08,0.3,3.7,-5.0,0.0,0.0,1.7,64.0,5.9,0.7,구름많음/눈/안개
2022-01-09,1.3,5.6,-1.2,0.0,0.0,1.6,72.0,3.1,4.5,구름조금/안개
2022-01-10,0.5,4.4,-3.4,0.9,0.9,2.0,68.0,7.0,3.9,구름많음/눈/안개
2022-01-11,-7.4,0.3,-10.3,0.2,0.1,3.9,56.0,0.4,9.1,맑음/눈/비
2022-01-12,-7.7,-3.4,-11.3,0.0,0.0,2.4,48.0,2.8,8.6,구름조금
2022-01-13,-6.4,-3.1,-8.9,0.0,0.0,3.1,46.0,2.2,9.1,맑음
2022-01-14,-4.8,1.3,-10.1,0.0,0.0,1.7,42.0,2.6,9.1,구름조금
2022-01-15,-1.0,1.8,-5.3,0.0,0.0,1.9,48.0,8.5,0.9,흐림/눈
2022-01-16,-2.0,2.4,-7.2,0.0,0.0,3.4,55.0,1.6,8.8,맑음/눈/안개
2022-01-17,-5.8,0.1,-9.2,0.5,0.8,2.3,60.0,2.5,4.5,구름조금/눈
2022-01-18,-5.6,-0.7,-9.9,0.0,0.0,2.3,48.0,0.2,9.2,맑음
2022-01-19,-5.3,-2.7,-7.7,1.7,3.5,2.1,72.0,5.1,0.0,구름조금/눈
2022-01-20,-5.0,0.9,-9.8,0.0,0.0,1.7,64.0,0.0,9.1,맑음
2022-01-21,-2.7,4.6,-8.7,0.0,0.0,1.8,56.0,0.0,9.2,맑음
2022-01-22,0.3,7.1,-5.0,0.0,0.0,1.8,52.0,5.9,6.0,구름많음
2022-01-23,2.0,6.7,-0.6,0.0,0.0,1.7,52.0,4.8,5.3,구름조금
2022-01-24,4.6,8.4,1.3,0.0,0.0,3.5,56.0,4.9,4.0,구름조금
2022-01-25,2.8,4.5,1.9,0.7,0.0,2.4,80.0,9.4,0.0,흐림/비/진눈개비
2022-01-26,1.3,6.8,-1.9,0.0,0.0,2.2,63.0,2.4,8.4,맑음/안개
2022-01-27,-1.1,4.0,-4.6,0.0,0.0,2.2,50.0,2.1,8.9,맑음
2022-01-28,-2.7,2.1,-5.9,0.0,0.0,2.8,52.0,2.0,9.2,맑음
2022-01-29,-3.6,0.9,-7.2,0.0,0.0,2.3,49.0,0.8,9.5,맑음
2022-01-30,-2.8,2.4,-8.0,0.0,0.0,2.2,45.0,0.6,9.6,맑음
2022-01-31,-0.7,4.8,-6.8,1.2,1.8,2.0,59.0,3.2,8.0,구름조금/눈
2022-02-01,-1.3,0.9,-2.7,1.7,3.3,2.7,77.0,6.6,4.7,구름많음/눈/안개
2022-02-02,-3.5,0.0,-6.0,0.0,0.0,2.4,61.0,3.5,9.2,구름조금
2022-02-03,-3.4,0.4,-6.9,0.0,0.0,2.5,52.0,1.5,9.7,맑음
