rank,title,singer,album
1,I AM,IVE (아이브),I've IVE
2,Kitsch,IVE (아이브),I've IVE
3,꽃,지수 (JISOO),ME
4,손오공,세븐틴 (SEVENTEEN),SEVENTEEN 10th Mini Album 'FML'
5,Ditto,NewJeans,NewJeans 'OMG'
6,파이팅 해야지 (Feat. 이영지),부석순 (SEVENTEEN),부석순 1st Single Album 'SECOND WIND'
7,Hype boy,NewJeans,NewJeans 1st EP 'New Jeans'
8,사랑은 늘 도망가,임영웅,신사와 아가씨 OST Part.2
9,CHRISTIAN,Zior Park,WHERE DOES SASQUATCH LIVE? PART 1
10,사건의 지평선,윤하 (YOUNHA),YOUNHA 6th Album Repackage 'END THEORY : Final Edition'
11,Teddy Bear,STAYC (스테이씨),Teddy Bear
12,우리들의 블루스,임영웅,IM HERO
13,다시 만날 수 있을까,임영웅,IM HERO
14,OMG,NewJeans,NewJeans 'OMG'
15,I Don't Think That I Like Her,Charlie Puth,CHARLIE
16,이제 나만 믿어요,임영웅,내일은 미스터트롯 우승자 특전곡
17,London Boy,임영웅,Polaroid
18,심 (心),DK (디셈버),심 (心)
19,Polaroid,임영웅,Polaroid
20,무지개,임영웅,IM HERO
21,After LIKE,IVE (아이브),After LIKE
22,아버지,임영웅,IM HERO
23,F*ck My Life,세븐틴 (SEVENTEEN),SEVENTEEN 10th Mini Album 'FML'
24,A bientot,임영웅,IM HERO
25,손이 참 곱던 그대,임영웅,IM HERO
26,Attention,NewJeans,NewJeans 1st EP 'New Jeans'
27,건물 사이에 피어난 장미,H1-KEY (하이키),H1-KEY 1st Mini Album (Rose Blossom)
28,사랑해 진짜,임영웅,IM HERO
29,LOVE DIVE,IVE (아이브),LOVE DIVE
30,ANTIFRAGILE,LE SSERAFIM (르세라핌),ANTIFRAGILE
31,연애편지,임영웅,IM HERO
32,인생찬가,임영웅,IM HERO
33,보금자리,임영웅,IM HERO
34,Dangerously,Charlie Puth,Nine Track Mind (Deluxe Edition)
35,사랑인가 봐,멜로망스 (MeloMance),사랑인가 봐 (사내맞선 OST 스페셜 트랙)
36,Cupid,FIFTY FIFTY,The Beginning : Cupid
37,먼지,세븐틴 (SEVENTEEN),SEVENTEEN 10th Mini Album 'FML'
38,취중고백,김민석 (멜로망스),취중고백
39,NIGHT DANCER,imase,NIGHT DANCER
40,밤이 무서워요 (Lonely Night),주주 시크릿,밤이 무서워요 (Lonely Night)
41,That's Hilarious,Charlie Puth,CHARLIE
42,너의 모든 순간,성시경,별에서 온 그대 OST Part.7 (SBS 수목드라마)
43,The Drum,Alan Walker,"Walkerverse, Pt. I"
44,헤어지자 말해요,박재정,1집 Alone
45,FRIEND THE END,볼빨간사춘기,사랑.zip
46,Nxde,(여자)아이들,I love
47,I Don't Understand But I Luv U,세븐틴 (SEVENTEEN),SEVENTEEN 10th Mini Album 'FML'
48,Fire,세븐틴 (SEVENTEEN),SEVENTEEN 10th Mini Album 'FML'
49,TOMBOY,(여자)아이들,I NEVER DIE
50,April shower,세븐틴 (SEVENTEEN),SEVENTEEN 10th Mini Album 'FML'
51,나의 마음에 (Seed),태양,Down to Earth
52,그때 그 순간 그대로 (그그그),WSG워너비 (가야G),WSG워너비 1집
53,새삥 (Prod. by ZICO) (Feat. 호미들),지코 (ZICO),스트릿 맨 파이터(SMF) Original Vol.3 (계급미션)
54,다정히 내 이름을 부르면,경서예지 & 전건호,다정히 내 이름을 부르면
55,보고싶었어,WSG워너비 (4FIRE),WSG워너비 1집
56,Pink Venom,BLACKPINK,BORN PINK
57,VIBE (Feat. Jimin of BTS),태양,VIBE
58,사랑하기 싫어,지아 (Zia),사랑하기 싫어
59,Shut Down,BLACKPINK,BORN PINK
60,Loving You Girl (Feat. Hkeem),Peder Elias,Love & Loneliness
61,ELEVEN,IVE (아이브),ELEVEN
62,오르트구름,윤하 (YOUNHA),YOUNHA 6th Album 'END THEORY'
63,Dynamite,방탄소년단,Dynamite (DayTime Ver.)
