rank,title,singer,album
1,I AM,IVE (아이브),I've IVE
2,Kitsch,IVE (아이브),I've IVE
3,꽃,지수(JISOO),ME
4,Cupid,FIFTY FIFTY,The Beginning: Cupid
5,Ditto,NewJeans,NewJeans 'OMG'
6,Hype Boy,NewJeans,NewJeans 1st EP 'New Jeans'
7,손오공,세븐틴(SEVENTEEN),SEVENTEEN 10th Mini Album ‘FML'
8,Teddy Bear,STAYC(스테이씨),Teddy Bear
9,OMG,NewJeans,NewJeans 'OMG'
10,Love Me Like This,NMIXX,expérgo
11,Attention,NewJeans,NewJeans 1st EP 'New Jeans'
12,건물 사이에 피어난 장미 (Rose Blossom),H1-KEY (하이키),H1-KEY 1st Mini Album [Rose Blossom]
13,CHRISTIAN,지올팍(Zior Park),WHERE DOES SASQUATCH LIVE? PART 1
14,I Don’t Think That I Like Her,Charlie Puth(찰리 푸스),I Don’t Think That I Like Her
15,사건의 지평선,윤하(Younha/ユンナ),YOUNHA 6th Album Repackage 'END THEORY : Final Edition'
16,After LIKE,IVE (아이브),After LIKE
17,LOVE DIVE,IVE (아이브),LOVE DIVE
18,ANTIFRAGILE,LE SSERAFIM (르세라핌),ANTIFRAGILE
19,파이팅 해야지 (Feat. 이영지),부석순(SEVENTEEN),부석순 1st Single Album 'SECOND WIND'
20,Dangerously,Charlie Puth(찰리 푸스),Nine Track Mind (Deluxe Edition)
21,FRIEND THE END,볼빨간사춘기,사랑.zip
22,When I Get Old,Christopher(크리스토퍼),When I Get Old
23,심(心),DK(디셈버),심(心)
24,오르트구름,윤하(Younha/ユンナ),YOUNHA 6th Album 'END THEORY'
25,사랑인가 봐,멜로망스(MeloMance),사랑인가 봐 (사내맞선 OST 스페셜 트랙)
26,한 페이지가 될 수 있게,DAY6 (데이식스),The Book of Us : Gravity
27,Cupid (Twin Ver.),FIFTY FIFTY,The Beginning: Cupid
28,딱 10CM만,10CM,딱 10CM만
29,밤이 무서워요 (Lonely Night),주주 시크릿,밤이 무서워요 (Lonely Night)
30,드라마,아이유(IU),조각집
31,Shut Down,BLACKPINK,BORN PINK
32,Expectations,Anne-Marie(앤 마리),Expectations
33,Poppy (Korean Ver.),STAYC(스테이씨),Teddy Bear
34,해요 (2022),#안녕,해요 (2022)
35,Left and Right (Feat. Jung Kook of BTS),Charlie Puth(찰리 푸스),Left and Right (Feat. Jung Kook of BTS)
36,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴(Paul Kim),'키스 먼저 할까요?' OST Part.3
37,Pink Venom,BLACKPINK,BORN PINK
38,Candy,NCT DREAM,Candy - Winter Special Mini Album
39,Off My Face,Justin Bieber(저스틴 비버),Justice
40,Monologue,테이(Tei),Monologue
41,KNOCK,이채연,Over The Moon
42,STAY,The Kid LAROI,STAY
43,Cookie,NewJeans,NewJeans 1st EP 'New Jeans'
44,취중고백,김민석 (멜로망스),취중고백
45,WHEN I MOVE,카라(Kara),MOVE AGAIN
46,새삥 (Prod. ZICO) (Feat. 호미들),지코 (ZICO),스트릿 맨 파이터(SMF) Original Vol.3 (계급미션)
47,헤어지자 말해요,박재정,1집 Alone
48,ELEVEN,IVE (아이브),ELEVEN
49,Unholy,Sam Smith(샘 스미스),Unholy
50,주저하는 연인들을 위해,잔나비,전설
51,That's Hilarious,Charlie Puth(찰리 푸스),That's Hilarious
52,Nxde,(여자)아이들,I love
53,VIBE (feat. Jimin of BTS),태양,VIBE (feat. Jimin of BTS)
54,Made You Look,Meghan Trainor(메간 트레이너),Takin' It Back
55,너의 모든 순간,성시경,별에서 온 그대 (SBS 수목드라마) OST - Part.7
56,나의 X에게,경서,나의 X에게
57,나의 마음에 (Seed),태양,Down to Earth
58,사랑은 늘 도망가,임영웅,신사와 아가씨 OST Part.2
59,INVU,태연 (TAEYEON),INVU - The 3rd Album
60,FEARLESS,LE SSERAFIM (르세라핌),FEARLESS
61,LOVE me,BE'O (비오),LOVE me
62,TOMBOY,(여자)아이들,I NEVER DIE
